Partition;Description;; ;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
A;20%;;A;F;F;A;A;A;A;A;A;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C
B;30;;B;F;F;A;A;A;A;A;A;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C
C;5%;;C;F;F;A;A;A;A;A;A;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C
D;35%;;D;F;F;A;A;A;A;A;A;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C
E;...;;E;F;F;A;A;A;A;A;A;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C
F;...;;F;G;G;A;A;A;A;A;A;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C
G;...;;G;G;G;A;A;A;A;A;A;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C
X;Empty;;H;G;G;A;A;A;A;A;A;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C
;;;I;G;G;A;A;A;A;A;A;B;B;B;B;B;B;B;D;D;D;D;D;D;D;D;D
;;;J;G;G;A;A;A;A;A;A;B;B;B;B;B;B;B;D;D;D;D;D;D;D;D;D
;;;K;G;G;A;A;A;A;A;A;B;B;B;B;B;B;B;D;D;D;D;D;D;D;D;D
;;;L;G;G;A;A;A;A;A;A;B;B;B;B;B;B;B;D;D;D;D;D;D;D;D;D
;;;M;G;G;A;A;A;A;A;A;B;B;B;B;B;B;B;D;D;D;D;D;D;D;D;D
;;;N;E;E;E;E;E;E;E;E;B;B;B;B;B;B;B;D;D;D;D;D;D;D;D;D
;;;O;E;E;E;E;E;E;E;E;B;B;B;B;B;B;B;D;D;D;D;D;D;D;D;D
;;;P;E;E;E;E;E;E;E;E;B;B;B;B;B;B;B;D;D;D;D;D;D;D;D;D
;;;;;;;;;;;;;;;;;;;;;;;;;;;
